,Mato Grosso - IDH
2003-1,0.7451471682661532
2003-2,0.7453080647004359
2003-3,0.7454689611347185
2003-4,0.7456298575690011
2003-5,0.7457907540032838
2003-6,0.7459516504375664
2003-7,0.746112546871849
2003-8,0.7462734433061318
2003-9,0.7464343397404144
2003-10,0.746595236174697
2003-11,0.7467561326089797
2003-12,0.7469170290432623
2004-1,0.7470779254775449
2004-2,0.7472214297332348
2004-3,0.7473649339889246
2004-4,0.7475084382446144
2004-5,0.7476519425003042
2004-6,0.7477954467559941
2004-7,0.7479389510116838
2004-8,0.7480824552673737
2004-9,0.7482259595230636
2004-10,0.7483694637787534
2004-11,0.7485129680344432
2004-12,0.748656472290133
2005-1,0.7487999765458229
2005-2,0.7489265188844907
2005-3,0.7490530612231585
2005-4,0.7491796035618263
2005-5,0.749306145900494
2005-6,0.7494326882391619
2005-7,0.7495592305778297
2005-8,0.7496857729164975
2005-9,0.7498123152551653
2005-10,0.749938857593833
2005-11,0.7500653999325009
2005-12,0.7501919422711687
2006-1,0.7503184846098365
2006-2,0.7504284952930531
2006-3,0.7505385059762697
2006-4,0.7506485166594863
2006-5,0.7507585273427028
2006-6,0.7508685380259194
2006-7,0.7509785487091359
2006-8,0.7510885593923525
2006-9,0.7511985700755691
2006-10,0.7513085807587856
2006-11,0.7514185914420022
2006-12,0.7515286021252188
2007-1,0.7516386128084354
2007-2,0.7517325220977714
2007-3,0.7518264313871076
2007-4,0.7519203406764436
2007-5,0.7520142499657798
2007-6,0.7521081592551159
2007-7,0.7522020685444519
2007-8,0.7522959778337881
2007-9,0.7523898871231242
2007-10,0.7524837964124603
2007-11,0.7525777057017964
2007-12,0.7526716149911326
2008-1,0.7527655242804686
2008-2,0.7528437624374951
2008-3,0.7529220005945214
2008-4,0.7530002387515479
2008-5,0.7530784769085743
2008-6,0.7531567150656008
2008-7,0.7532349532226272
2008-8,0.7533131913796536
2008-9,0.75339142953668
2008-10,0.7534696676937065
2008-11,0.7535479058507328
2008-12,0.7536261440077593
2009-1,0.7537043821647857
2009-2,0.7537673794510733
2009-3,0.7538303767373609
2009-4,0.7538933740236484
2009-5,0.753956371309936
2009-6,0.7540193685962235
2009-7,0.7540823658825111
2009-8,0.7541453631687987
2009-9,0.7542083604550862
2009-10,0.7542713577413738
2009-11,0.7543343550276613
2009-12,0.7543973523139489
2010-1,0.7544603496002364
2010-2,0.7545085362773559
2010-3,0.7545567229544754
2010-4,0.7546049096315948
2010-5,0.7546530963087142
2010-6,0.7547012829858337
2010-7,0.7547494696629531
2010-8,0.7547976563400726
2010-9,0.754845843017192
2010-10,0.7548940296943115
2010-11,0.754942216371431
2010-12,0.7549904030485504
2011-1,0.7550385897256698
2011-2,0.7550376565190133
2011-3,0.7550367233123567
2011-4,0.7550357901057002
2011-5,0.7550348568990437
2011-6,0.7550339236923871
2011-7,0.7550329904857306
2011-8,0.7550320572790741
2011-9,0.7550311240724175
2011-10,0.755030190865761
2011-11,0.7550292576591044
2011-12,0.7550283244524478
2012-1,0.7550273912457913
2012-2,0.7551178592405537
2012-3,0.7552083272353162
2012-4,0.7552987952300787
2012-5,0.7553892632248411
2012-6,0.7554797312196035
2012-7,0.755570199214366
2012-8,0.7556606672091284
2012-9,0.7557511352038908
2012-10,0.7558416031986532
2012-11,0.7559320711934158
2012-12,0.7560225391881782
2013-1,0.7561130071829406
2013-2,0.7560999030661555
2013-3,0.7560867989493704
2013-4,0.7560736948325852
2013-5,0.7560605907158001
2013-6,0.756047486599015
2013-7,0.7560343824822298
2013-8,0.7560212783654446
2013-9,0.7560081742486595
2013-10,0.7559950701318744
2013-11,0.7559819660150893
2013-12,0.7559688618983041
2014-1,0.755955757781519
2014-2,0.755913783877224
2014-3,0.755871809972929
2014-4,0.755829836068634
2014-5,0.755787862164339
2014-6,0.755745888260044
2014-7,0.7557039143557489
2014-8,0.755661940451454
2014-9,0.7556199665471589
2014-10,0.755577992642864
2014-11,0.7555360187385689
2014-12,0.755494044834274
2015-1,0.7554520709299789
2015-2,0.7557291576489975
2015-3,0.7560062443680162
2015-4,0.7562833310870349
2015-5,0.7565604178060535
2015-6,0.7568375045250721
2015-7,0.7571145912440909
