,Rio de Janeiro - IDH
2003-1,0.7734886331867591
2003-2,0.7735473718421904
2003-3,0.7736061104976215
2003-4,0.7736648491530527
2003-5,0.7737235878084839
2003-6,0.7737823264639152
2003-7,0.7738410651193464
2003-8,0.7738998037747775
2003-9,0.7739585424302088
2003-10,0.77401728108564
2003-11,0.7740760197410712
2003-12,0.7741347583965024
2004-1,0.7741934970519336
2004-2,0.7742535449921647
2004-3,0.7743135929323957
2004-4,0.7743736408726267
2004-5,0.7744336888128578
2004-6,0.7744937367530887
2004-7,0.7745537846933198
2004-8,0.7746138326335509
2004-9,0.7746738805737818
2004-10,0.7747339285140129
2004-11,0.774793976454244
2004-12,0.7748540243944749
2005-1,0.774914072334706
2005-2,0.774975632903833
2005-3,0.77503719347296
2005-4,0.775098754042087
2005-5,0.7751603146112139
2005-6,0.7752218751803409
2005-7,0.7752834357494678
2005-8,0.7753449963185948
2005-9,0.7754065568877218
2005-10,0.7754681174568487
2005-11,0.7755296780259757
2005-12,0.7755912385951027
2006-1,0.7756527991642297
2006-2,0.7757160757063487
2006-3,0.7757793522484677
2006-4,0.7758426287905867
2006-5,0.7759059053327058
2006-6,0.7759691818748248
2006-7,0.7760324584169438
2006-8,0.7760957349590629
2006-9,0.7761590115011819
2006-10,0.776222288043301
2006-11,0.77628556458542
2006-12,0.776348841127539
2007-1,0.776412117669658
2007-2,0.7764773135288652
2007-3,0.7765425093880725
2007-4,0.7766077052472796
2007-5,0.7766729011064868
2007-6,0.776738096965694
2007-7,0.7768032928249011
2007-8,0.7768684886841084
2007-9,0.7769336845433156
2007-10,0.7769988804025227
2007-11,0.77706407626173
2007-12,0.7771292721209372
2008-1,0.7771944679801444
2008-2,0.7772617865005359
2008-3,0.7773291050209273
2008-4,0.7773964235413189
2008-5,0.7774637420617103
2008-6,0.7775310605821019
2008-7,0.7775983791024934
2008-8,0.7776656976228848
2008-9,0.7777330161432764
2008-10,0.7778003346636678
2008-11,0.7778676531840594
2008-12,0.7779349717044508
2009-1,0.7780022902248424
2009-2,0.7780719347505143
2009-3,0.7781415792761861
2009-4,0.778211223801858
2009-5,0.77828086832753
2009-6,0.7783505128532019
2009-7,0.7784201573788738
2009-8,0.7784898019045456
2009-9,0.7785594464302176
2009-10,0.7786290909558895
2009-11,0.7786987354815613
2009-12,0.7787683800072333
2010-1,0.7788380245329052
2010-2,0.7789101984079536
2010-3,0.778982372283002
2010-4,0.7790545461580505
2010-5,0.7791267200330989
2010-6,0.7791988939081473
2010-7,0.7792710677831958
2010-8,0.7793432416582443
2010-9,0.7794154155332927
2010-10,0.7794875894083412
2010-11,0.7795597632833896
2010-12,0.779631937158438
2011-1,0.7797041110334865
2011-2,0.7797508046987656
2011-3,0.7797974983640446
2011-4,0.7798441920293235
2011-5,0.7798908856946026
2011-6,0.7799375793598817
2011-7,0.7799842730251607
2011-8,0.7800309666904397
2011-9,0.7800776603557188
2011-10,0.7801243540209979
2011-11,0.7801710476862769
2011-12,0.7802177413515559
2012-1,0.780264435016835
2012-2,0.7803912713711185
2012-3,0.7805181077254021
2012-4,0.7806449440796857
2012-5,0.7807717804339693
2012-6,0.7808986167882529
2012-7,0.7810254531425365
2012-8,0.78115228949682
2012-9,0.7812791258511036
2012-10,0.7814059622053873
2012-11,0.7815327985596708
2012-12,0.7816596349139544
2013-1,0.781786471268238
2013-2,0.7818822106520452
2013-3,0.7819779500358524
2013-4,0.7820736894196596
2013-5,0.7821694288034668
2013-6,0.782265168187274
2013-7,0.7823609075710812
2013-8,0.7824566469548885
2013-9,0.7825523863386956
2013-10,0.7826481257225029
2013-11,0.7827438651063101
2013-12,0.7828396044901172
2014-1,0.7829353438739245
2014-2,0.7829557282063823
2014-3,0.7829761125388401
2014-4,0.7829964968712979
2014-5,0.7830168812037557
2014-6,0.7830372655362136
2014-7,0.7830576498686713
2014-8,0.7830780342011291
2014-9,0.783098418533587
2014-10,0.7831188028660447
2014-11,0.7831391871985025
2014-12,0.7831595715309604
2015-1,0.7831799558634182
2015-2,0.7833025823143638
2015-3,0.7834252087653093
2015-4,0.7835478352162548
2015-5,0.7836704616672004
2015-6,0.7837930881181461
2015-7,0.7839157145690916
2015-8,0.7840383410200371
2015-9,0.7841609674709827
2015-10,0.7842835939219284
2015-11,0.7844062203728739
2015-12,0.7845288468238194
2016-1,0.784651473274765
2016-2,0.784618529890483
2016-3,0.7845855865062009
2016-4,0.7845526431219187
2016-5,0.7845196997376367
2016-6,0.7844867563533546
2016-7,0.7844538129690726
2016-8,0.7844208695847905
2016-9,0.7843879262005085
2016-10,0.7843549828162264
2016-11,0.7843220394319442
2016-12,0.7842890960476622
2017-1,0.7842561526633801
2017-2,0.7842050629108299
2017-3,0.7841539731582798
2017-4,0.7841028834057296
2017-5,0.7840517936531795
2017-6,0.7840007039006294
2017-7,0.7839496141480792
2017-8,0.783898524395529
2017-9,0.7838474346429789
2017-10,0.7837963448904287
2017-11,0.7837452551378785
2017-12,0.7836941653853284
2018-1,0.7836430756327782
2018-2,0.7834812807512084
2018-3,0.7833194858696385
2018-4,0.7831576909880686
2018-5,0.7829958961064988
2018-6,0.7828341012249289
2018-7,0.782672306343359
2018-8,0.7825105114617892
2018-9,0.7823487165802193
2018-10,0.7821869216986495
2018-11,0.7820251268170796
2018-12,0.7818633319355097
2019-1,0.7817015370539399
2019-2,0.7814947305164697
2019-3,0.7812879239789996
2019-4,0.7810811174415294
2019-5,0.7808743109040592
2019-6,0.7806675043665892
2019-7,0.780460697829119
2019-8,0.7802538912916488
