,Pará - IDH
2003-1,0.6695643379567419
2003-2,0.6697638128842065
2003-3,0.6699632878116712
2003-4,0.6701627627391359
2003-5,0.6703622376666005
2003-6,0.6705617125940653
2003-7,0.6707611875215299
2003-8,0.6709606624489945
2003-9,0.6711601373764593
2003-10,0.6713596123039239
2003-11,0.6715590872313886
2003-12,0.6717585621588533
2004-1,0.671958037086318
2004-2,0.6721444726836964
2004-3,0.6723309082810748
2004-4,0.6725173438784532
2004-5,0.6727037794758316
2004-6,0.67289021507321
2004-7,0.6730766506705885
2004-8,0.6732630862679669
2004-9,0.6734495218653453
2004-10,0.6736359574627238
2004-11,0.6738223930601022
2004-12,0.6740088286574806
2005-1,0.674195264254859
2005-2,0.6743691791212252
2005-3,0.6745430939875914
2005-4,0.6747170088539576
2005-5,0.6748909237203238
2005-6,0.67506483858669
2005-7,0.6752387534530562
2005-8,0.6754126683194225
2005-9,0.6755865831857887
2005-10,0.6757604980521549
2005-11,0.6759344129185211
2005-12,0.6761083277848873
2006-1,0.6762822426512535
2006-2,0.6764441553856815
2006-3,0.6766060681201095
2006-4,0.6767679808545375
2006-5,0.6769298935889656
2006-6,0.6770918063233936
2006-7,0.6772537190578216
2006-8,0.6774156317922496
2006-9,0.6775775445266776
2006-10,0.6777394572611057
2006-11,0.6779013699955337
2006-12,0.6780632827299617
2007-1,0.6782251954643898
2007-2,0.6783756246659536
2007-3,0.6785260538675175
2007-4,0.6786764830690813
2007-5,0.6788269122706452
2007-6,0.6789773414722091
2007-7,0.679127770673773
2007-8,0.6792781998753368
2007-9,0.6794286290769007
2007-10,0.6795790582784645
2007-11,0.6797294874800284
2007-12,0.6798799166815923
2008-1,0.6800303458831561
2008-2,0.6801698101509299
2008-3,0.6803092744187036
2008-4,0.6804487386864774
2008-5,0.6805882029542512
2008-6,0.6807276672220248
2008-7,0.6808671314897986
2008-8,0.6810065957575724
2008-9,0.6811460600253461
2008-10,0.6812855242931198
2008-11,0.6814249885608936
2008-12,0.6815644528286673
2009-1,0.6817039170964411
2009-2,0.6818329350294987
2009-3,0.6819619529625564
2009-4,0.682090970895614
2009-5,0.6822199888286716
2009-6,0.6823490067617293
2009-7,0.682478024694787
2009-8,0.6826070426278447
2009-9,0.6827360605609023
2009-10,0.6828650784939599
2009-11,0.6829940964270176
2009-12,0.6831231143600752
2010-1,0.6832521322931329
2010-2,0.6833712224905485
2010-3,0.683490312687964
2010-4,0.6836094028853796
2010-5,0.6837284930827953
2010-6,0.6838475832802108
2010-7,0.6839666734776264
2010-8,0.684085763675042
2010-9,0.6842048538724576
2010-10,0.6843239440698732
2010-11,0.6844430342672888
2010-12,0.6845621244647043
2011-1,0.68468121466212
2011-2,0.6847659015435313
2011-3,0.6848505884249428
2011-4,0.6849352753063542
2011-5,0.6850199621877657
2011-6,0.6851046490691771
2011-7,0.6851893359505885
2011-8,0.685274022832
2011-9,0.6853587097134114
2011-10,0.6854433965948229
2011-11,0.6855280834762343
2011-12,0.6856127703576458
2012-1,0.6856974572390572
2012-2,0.6858342451365507
2012-3,0.685971033034044
2012-4,0.6861078209315375
2012-5,0.6862446088290309
2012-6,0.6863813967265244
2012-7,0.6865181846240178
2012-8,0.6866549725215113
2012-9,0.6867917604190048
2012-10,0.6869285483164982
2012-11,0.6870653362139917
2012-12,0.6872021241114851
2013-1,0.6873389120089786
2013-2,0.6874523766757076
2013-3,0.6875658413424366
2013-4,0.6876793060091656
2013-5,0.6877927706758946
2013-6,0.6879062353426236
2013-7,0.6880197000093526
2013-8,0.6881331646760818
2013-9,0.6882466293428108
2013-10,0.6883600940095398
2013-11,0.6884735586762688
2013-12,0.6885870233429978
2014-1,0.6887004880097268
2014-2,0.6887331302875721
2014-3,0.6887657725654175
2014-4,0.6887984148432629
2014-5,0.6888310571211081
2014-6,0.6888636993989534
2014-7,0.6888963416767988
2014-8,0.6889289839546442
2014-9,0.6889616262324895
2014-10,0.6889942685103347
2014-11,0.6890269107881801
2014-12,0.6890595530660255
2015-1,0.6890921953438708
2015-2,0.6895604900697727
2015-3,0.6900287847956746
2015-4,0.6904970795215766
2015-5,0.6909653742474785
2015-6,0.6914336689733804
2015-7,0.6919019636992824
2015-8,0.6923702584251843
2015-9,0.6928385531510862
2015-10,0.6933068478769882
2015-11,0.6937751426028901
2015-12,0.694243437328792
2016-1,0.6947117320546939
2016-2,0.6947701542672295
2016-3,0.694828576479765
2016-4,0.6948869986923006
2016-5,0.6949454209048362
2016-6,0.6950038431173717
2016-7,0.6950622653299073
2016-8,0.6951206875424429
2016-9,0.6951791097549784
2016-10,0.695237531967514
2016-11,0.6952959541800496
2016-12,0.6953543763925851
2017-1,0.6954127986051207
2017-2,0.6954235016248564
2017-3,0.6954342046445923
2017-4,0.695444907664328
2017-5,0.6954556106840637
2017-6,0.6954663137037995
2017-7,0.6954770167235352
2017-8,0.695487719743271
2017-9,0.6954984227630068
2017-10,0.6955091257827425
2017-11,0.6955198288024782
2017-12,0.695530531822214
2018-1,0.6955412348419497
2018-2,0.6954544260149949
2018-3,0.6953676171880399
2018-4,0.695280808361085
2018-5,0.6951939995341301
2018-6,0.6951071907071751
2018-7,0.6950203818802202
2018-8,0.6949335730532653
2018-9,0.6948467642263103
2018-10,0.6947599553993554
2018-11,0.6946731465724005
2018-12,0.6945863377454455
2019-1,0.6944995289184906
2019-2,0.6944275556527216
2019-3,0.6943555823869526
2019-4,0.6942836091211837
2019-5,0.6942116358554147
2019-6,0.6941396625896457
2019-7,0.6940676893238766
2019-8,0.6939957160581076
2019-9,0.6939237427923386
2019-10,0.6938517695265696
2019-11,0.6937797962608007
2019-12,0.6937078229950316
2020-1,0.6936358497292626
2020-2,0.6934436970756964
2020-3,0.6932515444221302
2020-4,0.693059391768564
2020-5,0.6928672391149978
2020-6,0.6926750864614316
2020-7,0.6924829338078654
2020-8,0.6922907811542992
2020-9,0.692098628500733
2020-10,0.6919064758471668
2020-11,0.6917143231936006
2020-12,0.6915221705400344
2021-1,0.6913300178864682
2021-2,0.6913400937795475
2021-3,0.6913501696726269
2021-4,0.6913602455657062
2021-5,0.6913703214587854
2021-6,0.6913803973518647
2021-7,0.6913904732449441
2021-8,0.6914005491380234
2021-9,0.6914106250311027
2021-10,0.691420700924182
2021-11,0.6914307768172613
2021-12,0.6914408527103406
2022-1,0.69145092860342
