,Rio Grande do Sul - IDH
2003-1,0.7756410943135745
2003-2,0.7756858172136549
2003-3,0.7757305401137352
2003-4,0.7757752630138156
2003-5,0.775819985913896
2003-6,0.7758647088139763
2003-7,0.7759094317140567
2003-8,0.7759541546141371
2003-9,0.7759988775142174
2003-10,0.7760436004142978
2003-11,0.7760883233143782
2003-12,0.7761330462144584
2004-1,0.7761777691145388
2004-2,0.7762244794016273
2004-3,0.7762711896887159
2004-4,0.7763178999758044
2004-5,0.7763646102628928
2004-6,0.7764113205499814
2004-7,0.7764580308370699
2004-8,0.7765047411241583
2004-9,0.7765514514112469
2004-10,0.7765981616983354
2004-11,0.7766448719854239
2004-12,0.7766915822725124
2005-1,0.7767382925596009
2005-2,0.7767871736426222
2005-3,0.7768360547256434
2005-4,0.7768849358086647
2005-5,0.776933816891686
2005-6,0.7769826979747072
2005-7,0.7770315790577285
2005-8,0.7770804601407497
2005-9,0.777129341223771
2005-10,0.7771782223067922
2005-11,0.7772271033898135
2005-12,0.7772759844728347
2006-1,0.777324865555856
2006-2,0.7773761008437347
2006-3,0.7774273361316133
2006-4,0.7774785714194918
2006-5,0.7775298067073705
2006-6,0.7775810419952491
2006-7,0.7776322772831278
2006-8,0.7776835125710064
2006-9,0.7777347478588851
2006-10,0.7777859831467637
2006-11,0.7778372184346423
2006-12,0.7778884537225209
2007-1,0.7779396890103996
2007-2,0.7779934619120602
2007-3,0.7780472348137208
2007-4,0.7781010077153815
2007-5,0.7781547806170421
2007-6,0.7782085535187028
2007-7,0.7782623264203634
2007-8,0.778316099322024
2007-9,0.7783698722236846
2007-10,0.7784236451253452
2007-11,0.7784774180270059
2007-12,0.7785311909286665
2008-1,0.7785849638303272
2008-2,0.7786414577546944
2008-3,0.7786979516790616
2008-4,0.7787544456034289
2008-5,0.7788109395277961
2008-6,0.7788674334521634
2008-7,0.7789239273765306
2008-8,0.7789804213008978
2008-9,0.7790369152252651
2008-10,0.7790934091496323
2008-11,0.7791499030739996
2008-12,0.7792063969983668
2009-1,0.779262890922734
2009-2,0.7793222892787325
2009-3,0.779381687634731
2009-4,0.7794410859907295
2009-5,0.7795004843467279
2009-6,0.7795598827027264
2009-7,0.7796192810587248
2009-8,0.7796786794147234
2009-9,0.7797380777707218
2009-10,0.7797974761267202
2009-11,0.7798568744827188
2009-12,0.7799162728387172
2010-1,0.7799756711947157
2010-2,0.78003815739127
2010-3,0.7801006435878243
2010-4,0.7801631297843786
2010-5,0.780225615980933
2010-6,0.7802881021774872
2010-7,0.7803505883740416
2010-8,0.7804130745705959
2010-9,0.7804755607671502
2010-10,0.7805380469637045
2010-11,0.7806005331602589
2010-12,0.7806630193568131
2011-1,0.7807255055533675
2011-2,0.7807626386764455
2011-3,0.7807997717995234
2011-4,0.7808369049226014
2011-5,0.7808740380456793
2011-6,0.7809111711687573
2011-7,0.7809483042918353
2011-8,0.7809854374149133
2011-9,0.7810225705379913
2011-10,0.7810597036610692
2011-11,0.7810968367841472
2011-12,0.7811339699072252
2012-1,0.7811711030303031
2012-2,0.7812972912457914
2012-3,0.7814234794612795
2012-4,0.7815496676767678
2012-5,0.781675855892256
2012-6,0.7818020441077442
2012-7,0.7819282323232324
2012-8,0.7820544205387207
2012-9,0.7821806087542089
2012-10,0.7823067969696971
2012-11,0.7824329851851853
2012-12,0.7825591734006735
2013-1,0.7826853616161618
2013-2,0.7827526210718295
2013-3,0.7828198805274973
2013-4,0.7828871399831652
2013-5,0.7829543994388329
2013-6,0.7830216588945007
2013-7,0.7830889183501686
2013-8,0.7831561778058364
2013-9,0.7832234372615041
2013-10,0.7832906967171719
2013-11,0.7833579561728397
2013-12,0.7834252156285075
2014-1,0.7834924750841753
2014-2,0.7835236728278154
2014-3,0.7835548705714555
2014-4,0.7835860683150956
2014-5,0.7836172660587357
2014-6,0.7836484638023758
2014-7,0.783679661546016
2014-8,0.783710859289656
2014-9,0.7837420570332961
2014-10,0.7837732547769363
2014-11,0.7838044525205763
2014-12,0.7838356502642164
2015-1,0.7838668480078566
2015-2,0.7839477605809784
2015-3,0.7840286731541002
2015-4,0.7841095857272219
2015-5,0.7841904983003437
2015-6,0.7842714108734655
2015-7,0.7843523234465872
2015-8,0.784433236019709
2015-9,0.7845141485928309
2015-10,0.7845950611659527
2015-11,0.7846759737390745
2015-12,0.7847568863121962
2016-1,0.784837798885318
2016-2,0.7848062670586916
2016-3,0.7847747352320652
2016-4,0.7847432034054389
2016-5,0.7847116715788125
2016-6,0.7846801397521861
2016-7,0.7846486079255597
2016-8,0.7846170760989333
2016-9,0.7845855442723069
2016-10,0.7845540124456805
2016-11,0.7845224806190542
2016-12,0.7844909487924278
2017-1,0.7844594169658013
2017-2,0.7843947155791786
2017-3,0.7843300141925559
2017-4,0.7842653128059331
2017-5,0.7842006114193105
2017-6,0.7841359100326878
2017-7,0.784071208646065
2017-8,0.7840065072594423
2017-9,0.7839418058728196
2017-10,0.783877104486197
2017-11,0.7838124030995742
2017-12,0.7837477017129515
2018-1,0.7836830003263288
2018-2,0.7835821139651646
2018-3,0.7834812276040004
2018-4,0.7833803412428362
2018-5,0.783279454881672
2018-6,0.7831785685205079
2018-7,0.7830776821593437
2018-8,0.7829767957981795
2018-9,0.7828759094370153
2018-10,0.7827750230758512
2018-11,0.782674136714687
2018-12,0.7825732503535228
2019-1,0.7824723639923586
2019-2,0.7823320031135129
2019-3,0.7821916422346671
2019-4,0.7820512813558214
2019-5,0.7819109204769756
2019-6,0.7817705595981298
2019-7,0.7816301987192841
2019-8,0.7814898378404384
