Ano,Mato Grosso
1980,0.618
1981,0.6256363636363637
1982,0.6332727272727272
1983,0.6409090909090908
1984,0.6491245722139293
1985,0.6578177085229546
1986,0.666666941238577
1987,0.6753507117632065
1988,0.6835474614992535
1989,0.6909356318491279
1990,0.6971936642152401
1991,0.702
1992,0.705041215816565
1993,0.7064332590944824
1994,0.7064060338002869
1995,0.7051894439005126
1996,0.7030133933616944
1997,0.7001077861503666
1998,0.6967025262330638
1999,0.6930275175763206
2000,0.6893126641466714
2001,0.6857878699106509
2002,0.6826830388347932
2003,0.6802280748856335
2004,0.6786528820297058
2005,0.6781873642335446
2006,0.6790614254636849
2007,0.6815049696866609
2008,0.6857479008690069
2009,0.6920201229772579
2010,0.7005515399779481
2011,0.7115720558376122
2012,0.7253115745227847
2012,0.742
2013,0.758
2014,0.762
2015,0.77
2016,0.769
2017,0.77
2018,0.778
2019,0.779
2020,0.756
2021,0.736
