,Mato Grosso do Sul - IDH
2003-1,0.7416255410896376
2003-2,0.7417097795134568
2003-3,0.7417940179372761
2003-4,0.7418782563610953
2003-5,0.7419624947849145
2003-6,0.7420467332087337
2003-7,0.7421309716325528
2003-8,0.742215210056372
2003-9,0.7422994484801912
2003-10,0.7423836869040105
2003-11,0.7424679253278297
2003-12,0.7425521637516489
2004-1,0.7426364021754681
2004-2,0.7427196440090674
2004-3,0.7428028858426667
2004-4,0.7428861276762662
2004-5,0.7429693695098655
2004-6,0.7430526113434648
2004-7,0.7431358531770642
2004-8,0.7432190950106635
2004-9,0.7433023368442628
2004-10,0.7433855786778621
2004-11,0.7434688205114615
2004-12,0.7435520623450609
2005-1,0.7436353041786602
2005-2,0.743717529016747
2005-3,0.7437997538548338
2005-4,0.7438819786929206
2005-5,0.7439642035310073
2005-6,0.7440464283690942
2005-7,0.7441286532071809
2005-8,0.7442108780452678
2005-9,0.7442931028833546
2005-10,0.7443753277214413
2005-11,0.7444575525595282
2005-12,0.7445397773976149
2006-1,0.7446220022357017
2006-2,0.7447031896729832
2006-3,0.7447843771102648
2006-4,0.7448655645475464
2006-5,0.7449467519848278
2006-6,0.7450279394221093
2006-7,0.7451091268593909
2006-8,0.7451903142966725
2006-9,0.745271501733954
2006-10,0.7453526891712354
2006-11,0.745433876608517
2006-12,0.7455150640457986
2007-1,0.7455962514830801
2007-2,0.7456763811142636
2007-3,0.7457565107454471
2007-4,0.7458366403766308
2007-5,0.7459167700078143
2007-6,0.7459968996389978
2007-7,0.7460770292701815
2007-8,0.746157158901365
2007-9,0.7462372885325486
2007-10,0.7463174181637321
2007-11,0.7463975477949156
2007-12,0.7464776774260993
2008-1,0.7465578070572828
2008-2,0.7466368584770757
2008-3,0.7467159098968685
2008-4,0.7467949613166615
2008-5,0.7468740127364544
2008-6,0.7469530641562472
2008-7,0.7470321155760401
2008-8,0.747111166995833
2008-9,0.7471902184156258
2008-10,0.7472692698354187
2008-11,0.7473483212552117
2008-12,0.7474273726750045
2009-1,0.7475064240947974
2009-2,0.7475843768979069
2009-3,0.7476623297010164
2009-4,0.7477402825041259
2009-5,0.7478182353072355
2009-6,0.747896188110345
2009-7,0.7479741409134545
2009-8,0.748052093716564
2009-9,0.7481300465196735
2009-10,0.748207999322783
2009-11,0.7482859521258926
2009-12,0.7483639049290021
2010-1,0.7484418577321116
2010-2,0.748518691513245
2010-3,0.7485955252943784
2010-4,0.7486723590755119
2010-5,0.7487491928566453
2010-6,0.7488260266377788
2010-7,0.7489028604189123
2010-8,0.7489796942000457
2010-9,0.7490565279811792
2010-10,0.7491333617623126
2010-11,0.749210195543446
2010-12,0.7492870293245795
2011-1,0.7493638631057129
2011-2,0.749419682257678
2011-3,0.7494755014096429
2011-4,0.749531320561608
2011-5,0.7495871397135729
2011-6,0.749642958865538
2011-7,0.7496987780175031
2011-8,0.749754597169468
2011-9,0.7498104163214331
2011-10,0.749866235473398
2011-11,0.7499220546253631
2011-12,0.749977873777328
2012-1,0.7500336929292931
2012-2,0.7501519824635243
2012-3,0.7502702719977555
2012-4,0.7503885615319867
2012-5,0.7505068510662178
2012-6,0.750625140600449
2012-7,0.7507434301346803
2012-8,0.7508617196689115
2012-9,0.7509800092031427
2012-10,0.7510982987373738
2012-11,0.751216588271605
2012-12,0.7513348778058362
2013-1,0.7514531673400674
2013-2,0.7515118698910401
2013-3,0.7515705724420128
2013-4,0.7516292749929855
2013-5,0.7516879775439582
2013-6,0.7517466800949308
2013-7,0.7518053826459036
2013-8,0.7518640851968763
2013-9,0.7519227877478489
2013-10,0.7519814902988217
2013-11,0.7520401928497944
2013-12,0.752098895400767
2014-1,0.7521575979517398
2014-2,0.7522073034930713
2014-3,0.7522570090344028
2014-4,0.7523067145757343
2014-5,0.7523564201170658
2014-6,0.7524061256583974
2014-7,0.7524558311997289
2014-8,0.7525055367410605
2014-9,0.752555242282392
2014-10,0.7526049478237236
2014-11,0.752654653365055
2014-12,0.7527043589063865
2015-1,0.7527540644477181
2015-2,0.753035153945778
2015-3,0.7533162434438381
2015-4,0.753597332941898
2015-5,0.7538784224399581
2015-6,0.754159511938018
2015-7,0.754440601436078
2015-8,0.754721690934138
2015-9,0.7550027804321979
2015-10,0.755283869930258
2015-11,0.7555649594283179
2015-12,0.755846048926378
2016-1,0.7561271384244379
2016-2,0.7561129500791685
2016-3,0.7560987617338991
2016-4,0.7560845733886297
2016-5,0.7560703850433603
2016-6,0.7560561966980909
2016-7,0.7560420083528214
2016-8,0.7560278200075521
2016-9,0.7560136316622826
2016-10,0.7559994433170133
2016-11,0.7559852549717438
2016-12,0.7559710666264745
2017-1,0.7559568782812051
2017-2,0.7559110970560626
2017-3,0.7558653158309203
2017-4,0.7558195346057779
2017-5,0.7557737533806355
2017-6,0.7557279721554931
2017-7,0.7556821909303507
2017-8,0.7556364097052083
2017-9,0.755590628480066
2017-10,0.7555448472549235
2017-11,0.7554990660297811
2017-12,0.7554532848046388
2018-1,0.7554075035794964
2018-2,0.7552969543641895
2018-3,0.7551864051488827
2018-4,0.7550758559335758
2018-5,0.754965306718269
2018-6,0.7548547575029622
2018-7,0.7547442082876553
2018-8,0.7546336590723485
2018-9,0.7545231098570416
2018-10,0.7544125606417348
2018-11,0.7543020114264279
2018-12,0.7541914622111211
2019-1,0.7540809129958143
2019-2,0.7539072835488129
2019-3,0.7537336541018115
2019-4,0.7535600246548101
2019-5,0.7533863952078087
2019-6,0.7532127657608073
2019-7,0.7530391363138058
2019-8,0.7528655068668044
2019-9,0.752691877419803
2019-10,0.7525182479728016
2019-11,0.7523446185258003
2019-12,0.7521709890787989
2020-1,0.7519973596317975
2020-2,0.751936733568402
2020-3,0.7518761075050066
2020-4,0.751815481441611
2020-5,0.7517548553782155
2020-6,0.7516942293148201
2020-7,0.7516336032514246
2020-8,0.7515729771880291
2020-9,0.7515123511246337
2020-10,0.7514517250612381
2020-11,0.7513910989978426
2020-12,0.7513304729344472
2021-1,0.7512698468710517
2021-2,0.7513400729837112
2021-3,0.7514102990963707
2021-4,0.7514805252090302
2021-5,0.7515507513216897
2021-6,0.7516209774343492
2021-7,0.7516912035470087
2021-8,0.7517614296596681
2021-9,0.7518316557723276
2021-10,0.7519018818849871
2021-11,0.7519721079976466
2021-12,0.7520423341103061
2022-1,0.7521125602229656
