,Distrito Federal - IDH
2003-1,0.8269707095205188
2003-2,0.8270629450418
2003-3,0.8271551805630811
2003-4,0.8272474160843624
2003-5,0.8273396516056436
2003-6,0.8274318871269247
2003-7,0.827524122648206
2003-8,0.8276163581694872
2003-9,0.8277085936907683
2003-10,0.8278008292120496
2003-11,0.8278930647333308
2003-12,0.8279853002546119
2004-1,0.8280775357758932
2004-2,0.8281594479780983
2004-3,0.8282413601803035
2004-4,0.8283232723825087
2004-5,0.8284051845847138
2004-6,0.8284870967869189
2004-7,0.8285690089891241
2004-8,0.8286509211913293
2004-9,0.8287328333935344
2004-10,0.8288147455957395
2004-11,0.8288966577979447
2004-12,0.82897857000015
2005-1,0.8290604822023551
2005-2,0.8291322240055428
2005-3,0.8292039658087305
2005-4,0.8292757076119182
2005-5,0.829347449415106
2005-6,0.8294191912182937
2005-7,0.8294909330214814
2005-8,0.829562674824669
2005-9,0.8296344166278568
2005-10,0.8297061584310446
2005-11,0.8297779002342323
2005-12,0.82984964203742
2006-1,0.8299213838406077
2006-2,0.8299831081648366
2006-3,0.8300448324890655
2006-4,0.8301065568132944
2006-5,0.8301682811375233
2006-6,0.8302300054617522
2006-7,0.8302917297859811
2006-8,0.83035345411021
2006-9,0.8304151784344389
2006-10,0.8304769027586678
2006-11,0.8305386270828967
2006-12,0.8306003514071256
2007-1,0.8306620757313545
2007-2,0.8307139354966833
2007-3,0.8307657952620119
2007-4,0.8308176550273406
2007-5,0.8308695147926694
2007-6,0.830921374557998
2007-7,0.8309732343233267
2007-8,0.8310250940886554
2007-9,0.8310769538539841
2007-10,0.8311288136193128
2007-11,0.8311806733846415
2007-12,0.8312325331499701
2008-1,0.8312843929152989
2008-2,0.8313265410417859
2008-3,0.8313686891682731
2008-4,0.8314108372947602
2008-5,0.8314529854212472
2008-6,0.8314951335477344
2008-7,0.8315372816742215
2008-8,0.8315794298007085
2008-9,0.8316215779271957
2008-10,0.8316637260536828
2008-11,0.8317058741801698
2008-12,0.831748022306657
2009-1,0.8317901704331441
2009-2,0.8318227598408482
2009-3,0.8318553492485523
2009-4,0.8318879386562565
2009-5,0.8319205280639607
2009-6,0.8319531174716648
2009-7,0.8319857068793689
2009-8,0.832018296287073
2009-9,0.8320508856947771
2009-10,0.8320834751024813
2009-11,0.8321160645101855
2009-12,0.8321486539178896
2010-1,0.8321812433255937
2010-2,0.8322044269345735
2010-3,0.8322276105435533
2010-4,0.832250794152533
2010-5,0.8322739777615128
2010-6,0.8322971613704926
2010-7,0.8323203449794724
2010-8,0.8323435285884522
2010-9,0.832366712197432
2010-10,0.8323898958064118
2010-11,0.8324130794153914
2010-12,0.8324362630243712
2011-1,0.832459446633351
2011-2,0.8324528384262508
2011-3,0.8324462302191505
2011-4,0.8324396220120502
2011-5,0.83243301380495
2011-6,0.8324264055978499
2011-7,0.8324197973907496
2011-8,0.8324131891836493
2011-9,0.8324065809765491
2011-10,0.8323999727694489
2011-11,0.8323933645623486
2011-12,0.8323867563552483
2012-1,0.8323801481481481
2012-2,0.8324313991769546
2012-3,0.8324826502057613
2012-4,0.8325339012345678
2012-5,0.8325851522633745
2012-6,0.832636403292181
2012-7,0.8326876543209876
2012-8,0.8327389053497942
2012-9,0.8327901563786008
2012-10,0.8328414074074074
2012-11,0.832892658436214
2012-12,0.8329439094650206
2013-1,0.8329951604938272
2013-2,0.8329673491083677
2013-3,0.8329395377229081
2013-4,0.8329117263374486
2013-5,0.832883914951989
2013-6,0.8328561035665295
2013-7,0.8328282921810699
2013-8,0.8328004807956104
2013-9,0.8327726694101509
2013-10,0.8327448580246913
2013-11,0.8327170466392319
2013-12,0.8326892352537723
2014-1,0.8326614238683128
2014-2,0.8326382393118427
2014-3,0.8326150547553727
2014-4,0.8325918701989026
2014-5,0.8325686856424326
2014-6,0.8325455010859625
2014-7,0.8325223165294924
2014-8,0.8324991319730224
2014-9,0.8324759474165523
2014-10,0.8324527628600823
2014-11,0.8324295783036122
2014-12,0.8324063937471422
2015-1,0.8323832091906721
2015-2,0.832566577680093
2015-3,0.832749946169514
2015-4,0.8329333146589349
2015-5,0.833116683148356
2015-6,0.8333000516377769
2015-7,0.8334834201271979
2015-8,0.8336667886166188
2015-9,0.8338501571060397
2015-10,0.8340335255954607
2015-11,0.8342168940848816
2015-12,0.8344002625743027
2016-1,0.8345836310637236
2016-2,0.8344895676626912
2016-3,0.8343955042616588
2016-4,0.8343014408606264
2016-5,0.834207377459594
2016-6,0.8341133140585616
2016-7,0.8340192506575292
2016-8,0.8339251872564968
2016-9,0.8338311238554644
2016-10,0.833737060454432
2016-11,0.8336429970533996
2016-12,0.8335489336523672
2017-1,0.8334548702513348
2017-2,0.8333901344199055
2017-3,0.8333253985884762
2017-4,0.8332606627570469
2017-5,0.8331959269256177
2017-6,0.8331311910941884
2017-7,0.8330664552627591
2017-8,0.8330017194313298
2017-9,0.8329369835999005
2017-10,0.8328722477684714
2017-11,0.832807511937042
2017-12,0.8327427761056128
2018-1,0.8326780402741835
2018-2,0.8325846920944424
2018-3,0.8324913439147014
2018-4,0.8323979957349603
2018-5,0.8323046475552193
2018-6,0.8322112993754782
2018-7,0.8321179511957373
2018-8,0.8320246030159962
2018-9,0.8319312548362552
2018-10,0.8318379066565141
2018-11,0.8317445584767731
2018-12,0.831651210297032
2019-1,0.831557862117291
2019-2,0.8313499671333311
2019-3,0.8311420721493712
2019-4,0.8309341771654113
2019-5,0.8307262821814513
2019-6,0.8305183871974914
2019-7,0.8303104922135315
2019-8,0.8301025972295716
2019-9,0.8298947022456117
2019-10,0.8296868072616517
2019-11,0.8294789122776918
2019-12,0.8292710172937319
2020-1,0.829063122309772
2020-2,0.8290636005090884
2020-3,0.8290640787084049
2020-4,0.8290645569077213
2020-5,0.8290650351070378
2020-6,0.8290655133063543
2020-7,0.8290659915056707
2020-8,0.8290664697049872
2020-9,0.8290669479043037
2020-10,0.8290674261036202
2020-11,0.8290679043029365
2020-12,0.829068382502253
2021-1,0.8290688607015695
2021-2,0.8291830187371875
2021-3,0.8292971767728053
2021-4,0.8294113348084233
2021-5,0.8295254928440413
2021-6,0.8296396508796592
2021-7,0.8297538089152772
2021-8,0.8298679669508952
2021-9,0.829982124986513
2021-10,0.830096283022131
2021-11,0.830210441057749
2021-12,0.8303245990933669
2022-1,0.8304387571289849
