,Sergipe - IDH
2003-1,0.6692166755851026
2003-2,0.6695422823494777
2003-3,0.6698678891138528
2003-4,0.6701934958782279
2003-5,0.6705191026426028
2003-6,0.6708447094069779
2003-7,0.671170316171353
2003-8,0.6714959229357281
2003-9,0.6718215297001032
2003-10,0.6721471364644782
2003-11,0.6724727432288533
2003-12,0.6727983499932284
2004-1,0.6731239567576035
2004-2,0.673416024724331
2004-3,0.6737080926910586
2004-4,0.674000160657786
2004-5,0.6742922286245135
2004-6,0.6745842965912411
2004-7,0.6748763645579685
2004-8,0.675168432524696
2004-9,0.6754605004914236
2004-10,0.6757525684581511
2004-11,0.6760446364248787
2004-12,0.6763367043916061
2005-1,0.6766287723583336
2005-2,0.6768880282153367
2005-3,0.6771472840723398
2005-4,0.6774065399293429
2005-5,0.6776657957863459
2005-6,0.6779250516433489
2005-7,0.678184307500352
2005-8,0.6784435633573551
2005-9,0.6787028192143582
2005-10,0.6789620750713612
2005-11,0.6792213309283643
2005-12,0.6794805867853674
2006-1,0.6797398426423704
2006-2,0.6799670130775721
2006-3,0.6801941835127738
2006-4,0.6804213539479755
2006-5,0.6806485243831772
2006-6,0.680875694818379
2006-7,0.6811028652535807
2006-8,0.6813300356887825
2006-9,0.6815572061239842
2006-10,0.6817843765591859
2006-11,0.6820115469943876
2006-12,0.6822387174295893
2007-1,0.682465887864791
2007-2,0.6826616995661144
2007-3,0.682857511267438
2007-4,0.6830533229687614
2007-5,0.6832491346700849
2007-6,0.6834449463714083
2007-7,0.6836407580727317
2007-8,0.6838365697740553
2007-9,0.6840323814753787
2007-10,0.6842281931767021
2007-11,0.6844240048780257
2007-12,0.6846198165793491
2008-1,0.6848156282806726
2008-2,0.6849808079360409
2008-3,0.6851459875914092
2008-4,0.6853111672467775
2008-5,0.6854763469021459
2008-6,0.6856415265575142
2008-7,0.6858067062128825
2008-8,0.6859718858682509
2008-9,0.6861370655236192
2008-10,0.6863022451789875
2008-11,0.6864674248343559
2008-12,0.6866326044897242
2009-1,0.6867977841450925
2009-2,0.6869330584424288
2009-3,0.6870683327397651
2009-4,0.6872036070371014
2009-5,0.6873388813344377
2009-6,0.6874741556317739
2009-7,0.6876094299291102
2009-8,0.6877447042264466
2009-9,0.6878799785237829
2009-10,0.6880152528211192
2009-11,0.6881505271184555
2009-12,0.6882858014157918
2010-1,0.688421075713128
2010-2,0.6885271713403553
2010-3,0.6886332669675828
2010-4,0.6887393625948102
2010-5,0.6888454582220375
2010-6,0.6889515538492648
2010-7,0.6890576494764922
2010-8,0.6891637451037196
2010-9,0.6892698407309469
2010-10,0.6893759363581742
2010-11,0.6894820319854016
2010-12,0.689588127612629
2011-1,0.6896942232398563
2011-2,0.6897645625489929
2011-3,0.6898349018581295
2011-4,0.6899052411672659
2011-5,0.6899755804764025
2011-6,0.6900459197855391
2011-7,0.6901162590946757
2011-8,0.6901865984038122
2011-9,0.6902569377129488
2011-10,0.6903272770220854
2011-11,0.6903976163312219
2011-12,0.6904679556403585
2012-1,0.690538294949495
2012-2,0.6905836997755332
2012-3,0.6906291046015713
2012-4,0.6906745094276094
2012-5,0.6907199142536476
2012-6,0.6907653190796859
2012-7,0.690810723905724
2012-8,0.690856128731762
2012-9,0.6909015335578003
2012-10,0.6909469383838385
2012-11,0.6909923432098766
2012-12,0.6910377480359147
2013-1,0.6910831528619529
2013-2,0.6911392858679386
2013-3,0.6911954188739244
2013-4,0.6912515518799103
2013-5,0.691307684885896
2013-6,0.6913638178918817
2013-7,0.6914199508978676
2013-8,0.6914760839038534
2013-9,0.6915322169098391
2013-10,0.6915883499158249
2013-11,0.6916444829218107
2013-12,0.6917006159277965
2014-1,0.6917567489337823
2014-2,0.6917272819124891
2014-3,0.6916978148911959
2014-4,0.6916683478699027
2014-5,0.6916388808486096
2014-6,0.6916094138273163
2014-7,0.6915799468060232
2014-8,0.69155047978473
2014-9,0.6915210127634368
2014-10,0.6914915457421437
2014-11,0.6914620787208505
2014-12,0.6914326116995573
2015-1,0.6914031446782641
2015-2,0.6921330442991929
2015-3,0.6928629439201215
2015-4,0.6935928435410502
2015-5,0.694322743161979
2015-6,0.6950526427829077
2015-7,0.6957825424038364
2015-8,0.696512442024765
2015-9,0.6972423416456938
2015-10,0.6979722412666225
2015-11,0.6987021408875511
2015-12,0.6994320405084798
2016-1,0.7001619401294086
2016-2,0.7001858942212981
2016-3,0.7002098483131874
2016-4,0.7002338024050769
2016-5,0.7002577564969664
2016-6,0.7002817105888558
