Ano,Maranhão
1980,0.405
1981,0.4096363636363637
1982,0.4142727272727273
1983,0.41890909090909095
1984,0.4234954500703876
1985,0.42804056564847526
1986,0.43257220293139653
1987,0.4371181272071942
1988,0.4417061037639107
1989,0.44636389788958875
1990,0.45111927487227105
1991,0.456
1992,0.46096334725667165
1993,0.4660271641857824
1994,0.47123015070033236
1995,0.4766110067133212
1996,0.48220843213774867
1997,0.4880611268866149
1998,0.49420779087291955
1999,0.5006871240096624
2000,0.5075378262098436
2001,0.5147985973864627
2002,0.5225081374525197
2003,0.5307051463210142
2004,0.5394283239049463
2005,0.5487163701173159
2006,0.5586079848711227
2007,0.5691418680793666
2008,0.5803567196550475
2009,0.592291239511165
2010,0.6049841275607192
2011,0.6184740837167099
2012,0.6327998078921369
2012,0.648
2013,0.661
2014,0.663
2015,0.669
2016,0.68
2017,0.685
2018,0.686
2019,0.694
2020,0.699
2021,0.676
