,Tocantins - IDH
2003-1,0.7001068192263149
2003-2,0.7004866010927978
2003-3,0.7008663829592806
2003-4,0.7012461648257635
2003-5,0.7016259466922463
2003-6,0.7020057285587292
2003-7,0.7023855104252121
2003-8,0.7027652922916949
2003-9,0.7031450741581778
2003-10,0.7035248560246606
2003-11,0.7039046378911435
2003-12,0.7042844197576263
2004-1,0.7046642016241093
2004-2,0.7050048178062427
2004-3,0.7053454339883762
2004-4,0.7056860501705097
2004-5,0.7060266663526432
2004-6,0.7063672825347767
2004-7,0.7067078987169102
2004-8,0.7070485148990436
2004-9,0.7073891310811771
2004-10,0.7077297472633106
2004-11,0.708070363445444
2004-12,0.7084109796275776
2005-1,0.708751595809711
2005-2,0.7090537715929552
2005-3,0.7093559473761994
2005-4,0.7096581231594437
2005-5,0.7099602989426878
2005-6,0.710262474725932
2005-7,0.7105646505091762
2005-8,0.7108668262924204
2005-9,0.7111690020756646
2005-10,0.7114711778589087
2005-11,0.7117733536421529
2005-12,0.7120755294253971
2006-1,0.7123777052086413
2006-2,0.7126421658784563
2006-3,0.7129066265482713
2006-4,0.7131710872180863
2006-5,0.7134355478879013
2006-6,0.7137000085577163
2006-7,0.7139644692275313
2006-8,0.7142289298973463
2006-9,0.7144933905671613
2006-10,0.7147578512369763
2006-11,0.7150223119067913
2006-12,0.7152867725766063
2007-1,0.7155512332464213
2007-2,0.7157787040882673
2007-3,0.7160061749301131
2007-4,0.716233645771959
2007-5,0.716461116613805
2007-6,0.7166885874556508
2007-7,0.7169160582974967
2007-8,0.7171435291393427
2007-9,0.7173709999811885
2007-10,0.7175984708230344
2007-11,0.7178259416648803
2007-12,0.7180534125067262
2008-1,0.7182808833485721
2008-2,0.718472089647909
2008-3,0.7186632959472459
2008-4,0.7188545022465828
2008-5,0.7190457085459196
2008-6,0.7192369148452565
2008-7,0.7194281211445934
2008-8,0.7196193274439303
2008-9,0.7198105337432672
2008-10,0.7200017400426041
2008-11,0.720192946341941
2008-12,0.7203841526412779
2009-1,0.7205753589406148
2009-2,0.7207310259829027
2009-3,0.7208866930251907
2009-4,0.7210423600674787
2009-5,0.7211980271097667
2009-6,0.7213536941520546
2009-7,0.7215093611943426
2009-8,0.7216650282366306
2009-9,0.7218206952789186
2009-10,0.7219763623212065
2009-11,0.7221320293634945
2009-12,0.7222876964057825
2010-1,0.7224433634480705
2010-2,0.7225642165187696
2010-3,0.7226850695894688
2010-4,0.7228059226601679
2010-5,0.722926775730867
2010-6,0.7230476288015661
2010-7,0.7231684818722652
2010-8,0.7232893349429644
2010-9,0.7234101880136635
2010-10,0.7235310410843627
2010-11,0.7236518941550618
2010-12,0.723772747225761
2011-1,0.7238936002964601
2011-2,0.723946733492855
2011-3,0.7239998666892499
2011-4,0.7240529998856448
2011-5,0.7241061330820396
2011-6,0.7241592662784345
2011-7,0.7242123994748293
2011-8,0.7242655326712242
2011-9,0.7243186658676191
2011-10,0.7243717990640139
2011-11,0.7244249322604088
2011-12,0.7244780654568037
2012-1,0.7245311986531986
2012-2,0.724632109754957
2012-3,0.7247330208567152
2012-4,0.7248339319584736
2012-5,0.7249348430602319
2012-6,0.7250357541619902
2012-7,0.7251366652637485
2012-8,0.7252375763655069
2012-9,0.7253384874672651
2012-10,0.7254393985690235
2012-11,0.7255403096707819
2012-12,0.7256412207725401
2013-1,0.7257421318742985
2013-2,0.7257889522345367
2013-3,0.7258357725947748
2013-4,0.725882592955013
2013-5,0.7259294133152512
2013-6,0.7259762336754894
2013-7,0.7260230540357275
2013-8,0.7260698743959658
2013-9,0.726116694756204
2013-10,0.7261635151164422
2013-11,0.7262103354766803
2013-12,0.7262571558369185
2014-1,0.7263039761971567
2014-2,0.7262296982540815
2014-3,0.7261554203110061
2014-4,0.7260811423679308
2014-5,0.7260068644248555
2014-6,0.7259325864817803
2014-7,0.7258583085387049
2014-8,0.7257840305956296
2014-9,0.7257097526525543
2014-10,0.7256354747094791
2014-11,0.7255611967664037
2014-12,0.7254869188233284
2015-1,0.7254126408802531
2015-2,0.7262721173796631
2015-3,0.7271315938790732
2015-4,0.7279910703784832
2015-5,0.7288505468778932
2015-6,0.7297100233773033
2015-7,0.7305694998767133
2015-8,0.7314289763761233
2015-9,0.7322884528755333
2015-10,0.7331479293749433
2015-11,0.7340074058743533
2015-12,0.7348668823737634
2016-1,0.7357263588731734
2016-2,0.7357394373494853
2016-3,0.7357525158257973
2016-4,0.7357655943021091
2016-5,0.735778672778421
2016-6,0.735791751254733
2016-7,0.7358048297310449
2016-8,0.7358179082073568
2016-9,0.7358309866836688
2016-10,0.7358440651599807
2016-11,0.7358571436362925
2016-12,0.7358702221126044
2017-1,0.7358833005889164
2017-2,0.7358521134721657
2017-3,0.7358209263554151
2017-4,0.7357897392386645
2017-5,0.7357585521219139
2017-6,0.7357273650051632
2017-7,0.7356961778884126
2017-8,0.7356649907716619
2017-9,0.7356338036549113
2017-10,0.7356026165381606
2017-11,0.7355714294214101
2017-12,0.7355402423046594
2018-1,0.7355090551879088
2018-2,0.7354068510605445
2018-3,0.7353046469331801
2018-4,0.7352024428058158
2018-5,0.7351002386784515
2018-6,0.7349980345510871
2018-7,0.7348958304237229
2018-8,0.7347936262963586
2018-9,0.7346914221689942
2018-10,0.7345892180416299
2018-11,0.7344870139142656
2018-12,0.7343848097869012
2019-1,0.734282605659537
2019-2,0.7341559587327152
2019-3,0.7340293118058936
2019-4,0.7339026648790719
2019-5,0.7337760179522501
2019-6,0.7336493710254285
2019-7,0.7335227240986067
2019-8,0.733396077171785
