Ano,Sergipe - IDH
2008,0.6848156282806726
2009,0.6867977841450925
2010,0.688421075713128
2011,0.6896942232398563
2012,0.690538294949495
2013,0.6910831528619529
2014,0.6917567489337823
2015,0.6914031446782641
2016,0.7001619401294086
2017,0.700449389232082
2018,0.7005811518895441
2019,0.6997248929704117
2020,0.6992453377859036
2021,0.6971767321300767
2022,0.6967382532328109
