,Amapá - IDH
2003-1,0.7114207342902096
2003-2,0.7115528050904896
2003-3,0.7116848758907696
2003-4,0.7118169466910496
2003-5,0.7119490174913295
2003-6,0.7120810882916095
2003-7,0.7122131590918895
2003-8,0.7123452298921695
2003-9,0.7124773006924495
2003-10,0.7126093714927295
2003-11,0.7127414422930095
2003-12,0.7128735130932895
2004-1,0.7130055838935695
2004-2,0.713119746075976
2004-3,0.7132339082583824
2004-4,0.7133480704407889
2004-5,0.7134622326231953
2004-6,0.7135763948056018
2004-7,0.7136905569880081
2004-8,0.7138047191704145
2004-9,0.713918881352821
2004-10,0.7140330435352275
2004-11,0.7141472057176339
2004-12,0.7142613679000404
2005-1,0.7143755300824468
2005-2,0.7144719669732827
2005-3,0.7145684038641186
2005-4,0.7146648407549545
2005-5,0.7147612776457904
2005-6,0.7148577145366263
2005-7,0.7149541514274622
2005-8,0.7150505883182982
2005-9,0.715147025209134
2005-10,0.7152434620999699
2005-11,0.7153398989908059
2005-12,0.7154363358816417
2006-1,0.7155327727724776
2006-2,0.715611667698046
2006-3,0.7156905626236143
2006-4,0.7157694575491826
2006-5,0.715848352474751
2006-6,0.7159272474003193
2006-7,0.7160061423258877
2006-8,0.7160850372514559
2006-9,0.7161639321770242
2006-10,0.7162428271025926
2006-11,0.7163217220281609
2006-12,0.7164006169537293
2007-1,0.7164795118792976
2007-2,0.7165410481659014
2007-3,0.7166025844525051
2007-4,0.7166641207391089
2007-5,0.7167256570257127
2007-6,0.7167871933123164
2007-7,0.7168487295989203
2007-8,0.7169102658855241
2007-9,0.7169718021721279
2007-10,0.7170333384587316
2007-11,0.7170948747453354
2007-12,0.7171564110319392
2008-1,0.7172179473185429
2008-2,0.7172623082924852
2008-3,0.7173066692664274
2008-4,0.7173510302403696
2008-5,0.7173953912143117
2008-6,0.717439752188254
2008-7,0.7174841131621962
2008-8,0.7175284741361384
2008-9,0.7175728351100806
2008-10,0.7176171960840227
2008-11,0.717661557057965
2008-12,0.7177059180319072
2009-1,0.7177502790058494
2009-2,0.717777647993433
2009-3,0.7178050169810166
2009-4,0.7178323859686002
2009-5,0.7178597549561839
2009-6,0.7178871239437675
2009-7,0.7179144929313511
2009-8,0.7179418619189347
2009-9,0.7179692309065183
2009-10,0.717996599894102
2009-11,0.7180239688816856
2009-12,0.7180513378692692
2010-1,0.7180787068568528
2010-2,0.7180892671843808
2010-3,0.7180998275119089
2010-4,0.7181103878394369
2010-5,0.718120948166965
2010-6,0.718131508494493
2010-7,0.718142068822021
2010-8,0.7181526291495491
2010-9,0.7181631894770771
2010-10,0.7181737498046052
2010-11,0.7181843101321332
2010-12,0.7181948704596613
2011-1,0.7182054307871893
2011-2,0.7181606864146317
2011-3,0.7181159420420742
2011-4,0.7180711976695167
2011-5,0.718026453296959
2011-6,0.7179817089244014
2011-7,0.7179369645518439
2011-8,0.7178922201792863
2011-9,0.7178474758067287
2011-10,0.7178027314341711
2011-11,0.7177579870616135
2011-12,0.717713242689056
2012-1,0.7176684983164984
2012-2,0.7177425851103629
2012-3,0.7178166719042275
2012-4,0.717890758698092
2012-5,0.7179648454919566
2012-6,0.7180389322858212
2012-7,0.7181130190796858
2012-8,0.7181871058735504
2012-9,0.718261192667415
2012-10,0.7183352794612795
2012-11,0.7184093662551441
2012-12,0.7184834530490086
2013-1,0.7185575398428732
2013-2,0.7184503005362265
2013-3,0.7183430612295798
2013-4,0.718235821922933
2013-5,0.7181285826162863
2013-6,0.7180213433096396
2013-7,0.7179141040029928
2013-8,0.7178068646963461
2013-9,0.7176996253896994
2013-10,0.7175923860830528
2013-11,0.7174851467764061
2013-12,0.7173779074697593
2014-1,0.7172706681631126
2014-2,0.7172169922475786
2014-3,0.7171633163320447
2014-4,0.7171096404165107
2014-5,0.7170559645009769
2014-6,0.7170022885854429
2014-7,0.716948612669909
2014-8,0.716894936754375
2014-9,0.716841260838841
2014-10,0.7167875849233072
2014-11,0.7167339090077732
2014-12,0.7166802330922393
2015-1,0.7166265571767053
2015-2,0.7168555809233373
2015-3,0.7170846046699694
2015-4,0.7173136284166015
2015-5,0.7175426521632335
2015-6,0.7177716759098656
2015-7,0.7180006996564976
2015-8,0.7182297234031296
2015-9,0.7184587471497617
2015-10,0.7186877708963937
2015-11,0.7189167946430258
2015-12,0.7191458183896579
2016-1,0.7193748421362899
2016-2,0.719271621243383
2016-3,0.7191684003504761
2016-4,0.7190651794575692
2016-5,0.7189619585646623
2016-6,0.7188587376717555
2016-7,0.7187555167788485
2016-8,0.7186522958859416
2016-9,0.7185490749930348
2016-10,0.7184458541001278
2016-11,0.7183426332072209
2016-12,0.7182394123143141
2017-1,0.7181361914214072
2017-2,0.718031162568539
2017-3,0.7179261337156709
2017-4,0.7178211048628028
2017-5,0.7177160760099347
2017-6,0.7176110471570666
2017-7,0.7175060183041984
2017-8,0.7174009894513302
2017-9,0.7172959605984621
2017-10,0.717190931745594
2017-11,0.7170859028927259
2017-12,0.7169808740398578
2018-1,0.7168758451869897
2018-2,0.7166930864384062
2018-3,0.7165103276898228
2018-4,0.7163275689412394
2018-5,0.716144810192656
2018-6,0.7159620514440725
2018-7,0.7157792926954891
2018-8,0.7155965339469058
2018-9,0.7154137751983224
2018-10,0.715231016449739
2018-11,0.7150482577011555
2018-12,0.7148654989525721
2019-1,0.7146827402039887
2019-2,0.7145136700540189
2019-3,0.7143445999040492
2019-4,0.7141755297540794
2019-5,0.7140064596041096
2019-6,0.7138373894541398
2019-7,0.71366831930417
2019-8,0.7134992491542003
2019-9,0.7133301790042305
2019-10,0.7131611088542607
2019-11,0.712992038704291
2019-12,0.7128229685543211
2020-1,0.7126538984043513
2020-2,0.7125679430892328
2020-3,0.7124819877741142
2020-4,0.7123960324589957
2020-5,0.7123100771438772
2020-6,0.7122241218287586
2020-7,0.71213816651364
2020-8,0.7120522111985215
2020-9,0.7119662558834029
2020-10,0.7118803005682843
2020-11,0.7117943452531659
2020-12,0.7117083899380473
2021-1,0.7116224346229287
2021-2,0.7118013924609812
2021-3,0.7119803502990337
2021-4,0.7121593081370863
2021-5,0.7123382659751387
2021-6,0.7125172238131912
2021-7,0.7126961816512437
2021-8,0.7128751394892963
2021-9,0.7130540973273487
2021-10,0.7132330551654011
2021-11,0.7134120130034537
2021-12,0.7135909708415062
2022-1,0.7137699286795587
