,Paraíba - IDH
2003-1,0.6565097942884002
2003-2,0.6569488898341695
2003-3,0.6573879853799389
2003-4,0.6578270809257083
2003-5,0.6582661764714778
2003-6,0.6587052720172472
2003-7,0.6591443675630165
2003-8,0.6595834631087859
2003-9,0.6600225586545553
2003-10,0.6604616542003248
2003-11,0.6609007497460941
2003-12,0.6613398452918635
2004-1,0.6617789408376329
2004-2,0.6621760620466068
2004-3,0.6625731832555807
2004-4,0.6629703044645546
2004-5,0.6633674256735286
2004-6,0.6637645468825024
2004-7,0.6641616680914764
2004-8,0.6645587893004503
2004-9,0.6649559105094242
2004-10,0.6653530317183981
2004-11,0.665750152927372
2004-12,0.6661472741363459
2005-1,0.6665443953453198
2005-2,0.6669007089073576
2005-3,0.6672570224693954
2005-4,0.6676133360314334
2005-5,0.6679696495934712
2005-6,0.668325963155509
2005-7,0.6686822767175468
2005-8,0.6690385902795846
2005-9,0.6693949038416224
2005-10,0.6697512174036602
2005-11,0.6701075309656981
2005-12,0.6704638445277359
2006-1,0.6708201580897737
2006-2,0.6711368306947348
2006-3,0.671453503299696
2006-4,0.6717701759046572
2006-5,0.6720868485096183
2006-6,0.6724035211145795
2006-7,0.6727201937195406
2006-8,0.6730368663245017
2006-9,0.6733535389294628
2006-10,0.673670211534424
2006-11,0.6739868841393851
2006-12,0.6743035567443463
2007-1,0.6746202293493074
2007-2,0.6748984276870513
2007-3,0.6751766260247951
2007-4,0.675454824362539
2007-5,0.6757330227002828
2007-6,0.6760112210380267
2007-7,0.6762894193757705
2007-8,0.6765676177135144
2007-9,0.6768458160512583
2007-10,0.677124014389002
2007-11,0.677402212726746
2007-12,0.6776804110644897
2008-1,0.6779586094022336
2008-2,0.6781995001626195
2008-3,0.6784403909230055
2008-4,0.6786812816833914
2008-5,0.6789221724437774
2008-6,0.6791630632041633
2008-7,0.6794039539645492
2008-8,0.6796448447249351
2008-9,0.679885735485321
2008-10,0.6801266262457071
2008-11,0.680367517006093
2008-12,0.6806084077664789
2009-1,0.6808492985268648
2009-2,0.6810540483997523
2009-3,0.6812587982726397
2009-4,0.6814635481455271
2009-5,0.6816682980184147
2009-6,0.6818730478913021
2009-7,0.6820777977641895
2009-8,0.682282547637077
2009-9,0.6824872975099644
2009-10,0.6826920473828519
2009-11,0.6828967972557394
2009-12,0.6831015471286268
2010-1,0.6833062970015142
2010-2,0.6834760726767626
2010-3,0.6836458483520109
2010-4,0.6838156240272593
2010-5,0.6839853997025076
2010-6,0.6841551753777559
2010-7,0.6843249510530043
2010-8,0.6844947267282526
2010-9,0.684664502403501
2010-10,0.6848342780787493
2010-11,0.6850040537539976
2010-12,0.685173829429246
2011-1,0.6853436051044943
2011-2,0.6854688104030255
2011-3,0.6855940157015568
2011-4,0.685719221000088
2011-5,0.6858444262986191
2011-6,0.6859696315971503
2011-7,0.6860948368956815
2011-8,0.6862200421942127
2011-9,0.686345247492744
2011-10,0.686470452791275
2011-11,0.6865956580898063
2011-12,0.6867208633883375
2012-1,0.6868460686868687
2012-2,0.6869422219416387
2012-3,0.6870383751964085
2012-4,0.6871345284511785
2012-5,0.6872306817059484
2012-6,0.6873268349607183
2012-7,0.6874229882154883
2012-8,0.6875191414702582
2012-9,0.6876152947250281
2012-10,0.687711447979798
2012-11,0.687807601234568
2012-12,0.6879037544893378
2013-1,0.6879999077441078
2013-2,0.6881249071034419
2013-3,0.688249906462776
2013-4,0.68837490582211
2013-5,0.6884999051814441
2013-6,0.6886249045407782
2013-7,0.6887499039001124
2013-8,0.6888749032594464
2013-9,0.6889999026187805
2013-10,0.6891249019781146
2013-11,0.6892499013374487
2013-12,0.6893749006967828
2014-1,0.6894999000561168
2014-2,0.6894964271398398
2014-3,0.6894929542235629
2014-4,0.6894894813072859
2014-5,0.6894860083910089
2014-6,0.689482535474732
2014-7,0.689479062558455
2014-8,0.689475589642178
2014-9,0.6894721167259011
2014-10,0.6894686438096241
2014-11,0.6894651708933471
2014-12,0.6894616979770702
2015-1,0.6894582250607932
2015-2,0.6904034040447263
2015-3,0.6913485830286593
2015-4,0.6922937620125924
2015-5,0.6932389409965254
2015-6,0.6941841199804585
2015-7,0.6951292989643916
2015-8,0.6960744779483246
2015-9,0.6970196569322576
2015-10,0.6979648359161906
2015-11,0.6989100149001237
2015-12,0.6998551938840567
2016-1,0.7008003728679898
2016-2,0.7007761332685049
2016-3,0.7007518936690199
2016-4,0.7007276540695351
2016-5,0.7007034144700501
2016-6,0.7006791748705652
2016-7,0.7006549352710802
2016-8,0.7006306956715953
2016-9,0.7006064560721104
2016-10,0.7005822164726254
2016-11,0.7005579768731406
2016-12,0.7005337372736556
2017-1,0.7005094976741707
2017-2,0.7003845696262477
2017-3,0.7002596415783248
2017-4,0.7001347135304019
2017-5,0.7000097854824789
2017-6,0.699884857434556
2017-7,0.699759929386633
2017-8,0.69963500133871
2017-9,0.6995100732907871
2017-10,0.6993851452428641
2017-11,0.6992602171949412
2017-12,0.6991352891470183
2018-1,0.6990103610990953
2018-2,0.6989195305013611
2018-3,0.6988286999036271
2018-4,0.6987378693058929
2018-5,0.6986470387081588
2018-6,0.6985562081104246
2018-7,0.6984653775126906
2018-8,0.6983745469149564
