,Santa Catarina - IDH
2003-1,0.7977678874701567
2003-2,0.7978533919669824
2003-3,0.7979388964638081
2003-4,0.7980244009606339
2003-5,0.7981099054574595
2003-6,0.7981954099542852
2003-7,0.7982809144511109
2003-8,0.7983664189479367
2003-9,0.7984519234447623
2003-10,0.798537427941588
2003-11,0.7986229324384138
2003-12,0.7987084369352395
2004-1,0.7987939414320652
2004-2,0.7988733096893726
2004-3,0.79895267794668
2004-4,0.7990320462039875
2004-5,0.7991114144612949
2004-6,0.7991907827186023
2004-7,0.7992701509759097
2004-8,0.7993495192332172
2004-9,0.7994288874905247
2004-10,0.799508255747832
2004-11,0.7995876240051395
2004-12,0.7996669922624469
2005-1,0.7997463605197543
2005-2,0.799819785454334
2005-3,0.7998932103889136
2005-4,0.7999666353234931
2005-5,0.8000400602580727
2005-6,0.8001134851926524
2005-7,0.8001869101272319
2005-8,0.8002603350618115
2005-9,0.8003337599963911
2005-10,0.8004071849309707
2005-11,0.8004806098655504
2005-12,0.8005540348001299
2006-1,0.8006274597347095
2006-2,0.8006951342633517
2006-3,0.8007628087919939
2006-4,0.8008304833206361
2006-5,0.8008981578492782
2006-6,0.8009658323779204
2006-7,0.8010335069065626
2006-8,0.8011011814352048
2006-9,0.801168855963847
2006-10,0.8012365304924891
2006-11,0.8013042050211313
2006-12,0.8013718795497735
2007-1,0.8014395540784157
2007-2,0.8015016711179109
2007-3,0.8015637881574061
2007-4,0.8016259051969014
2007-5,0.8016880222363966
2007-6,0.8017501392758918
2007-7,0.8018122563153871
2007-8,0.8018743733548823
2007-9,0.8019364903943775
2007-10,0.8019986074338727
2007-11,0.802060724473368
2007-12,0.8021228415128632
2008-1,0.8021849585523584
2008-2,0.802241711019497
2008-3,0.8022984634866357
2008-4,0.8023552159537743
2008-5,0.8024119684209131
2008-6,0.8024687208880518
2008-7,0.8025254733551904
2008-8,0.8025822258223291
2008-9,0.8026389782894677
2008-10,0.8026957307566065
2008-11,0.8027524832237452
2008-12,0.8028092356908838
2009-1,0.8028659881580225
2009-2,0.802917568969595
2009-3,0.8029691497811676
2009-4,0.8030207305927402
2009-5,0.8030723114043128
2009-6,0.8031238922158853
2009-7,0.8031754730274578
2009-8,0.8032270538390305
2009-9,0.803278634650603
2009-10,0.8033302154621756
2009-11,0.8033817962737482
2009-12,0.8034333770853208
2010-1,0.8034849578968933
2010-2,0.8035315599696903
2010-3,0.8035781620424871
2010-4,0.803624764115284
2010-5,0.803671366188081
2010-6,0.8037179682608778
2010-7,0.8037645703336748
2010-8,0.8038111724064717
2010-9,0.8038577744792685
2010-10,0.8039043765520655
2010-11,0.8039509786248624
2010-12,0.8039975806976593
2011-1,0.8040441827704562
2011-2,0.8040611217483391
2011-3,0.8040780607262219
2011-4,0.8040949997041047
2011-5,0.8041119386819876
2011-6,0.8041288776598705
2011-7,0.8041458166377533
2011-8,0.8041627556156361
2011-9,0.804179694593519
2011-10,0.8041966335714019
2011-11,0.8042135725492847
2011-12,0.8042305115271675
2012-1,0.8042474505050504
2012-2,0.8043325022446688
2012-3,0.8044175539842873
2012-4,0.8045026057239056
2012-5,0.804587657463524
2012-6,0.8046727092031425
2012-7,0.8047577609427609
2012-8,0.8048428126823792
2012-9,0.8049278644219977
2012-10,0.8050129161616161
2012-11,0.8050979679012344
2012-12,0.8051830196408529
2013-1,0.8052680713804713
2013-2,0.8052977107650579
2013-3,0.8053273501496445
2013-4,0.8053569895342312
2013-5,0.8053866289188177
2013-6,0.8054162683034043
2013-7,0.805445907687991
2013-8,0.8054755470725776
2013-9,0.8055051864571642
2013-10,0.8055348258417507
2013-11,0.8055644652263374
2013-12,0.8055941046109241
2014-1,0.8056237439955106
2014-2,0.8056141866621461
2014-3,0.8056046293287816
2014-4,0.805595071995417
2014-5,0.8055855146620525
2014-6,0.805575957328688
2014-7,0.8055663999953235
2014-8,0.805556842661959
2014-9,0.8055472853285945
2014-10,0.80553772799523
2014-11,0.8055281706618654
2014-12,0.8055186133285009
2015-1,0.8055090559951364
2015-2,0.8056836674036946
2015-3,0.8058582788122526
2015-4,0.8060328902208107
2015-5,0.8062075016293688
2015-6,0.806382113037927
2015-7,0.8065567244464851
2015-8,0.8067313358550431
2015-9,0.8069059472636012
2015-10,0.8070805586721593
2015-11,0.8072551700807173
2015-12,0.8074297814892755
2016-1,0.8076043928978336
2016-2,0.8075559413288778
2016-3,0.8075074897599219
2016-4,0.8074590381909661
2016-5,0.8074105866220104
2016-6,0.8073621350530545
2016-7,0.8073136834840987
2016-8,0.8072652319151429
2016-9,0.807216780346187
2016-10,0.8071683287772313
2016-11,0.8071198772082755
2016-12,0.8070714256393197
2017-1,0.8070229740703638
2017-2,0.8069473905405938
2017-3,0.8068718070108238
2017-4,0.806796223481054
2017-5,0.806720639951284
2017-6,0.806645056421514
