Ano,Pará
1980,0.579
1981,0.5804545454545454
1982,0.5819090909090908
1983,0.5833636363636362
1984,0.5847514341452166
1985,0.5860841785900655
1986,0.5873989317484009
1987,0.5887327556704406
1988,0.5901227124064027
1989,0.5916058640065046
1990,0.5932192725209646
1991,0.595
1992,0.5970402137853164
1993,0.5993443515353823
1994,0.6018897826403706
1995,0.6046538764904537
1996,0.6076140024758042
1997,0.610747529986595
1998,0.6140318284129987
1999,0.6174442671451877
2000,0.620962215573335
2001,0.6245630430876132
2002,0.6282241190781946
2003,0.6319228129352522
2004,0.6356364940489588
2005,0.6393425318094866
2006,0.6430182956070087
2007,0.6466411548316973
2008,0.6501884788737254
2009,0.6536376371232657
2010,0.6569659989704905
2011,0.6601509338055728
2012,0.6631698110186851
2012,0.666
2013,0.671
2014,0.684
2015,0.689
2016,0.687
2017,0.694
2018,0.707
2019,0.704
2020,0.719
2021,0.69
