,Minas Gerais - IDH
2003-1,0.7565371148204723
2003-2,0.756708211319166
2003-3,0.7568793078178597
2003-4,0.7570504043165535
2003-5,0.7572215008152472
2003-6,0.7573925973139409
2003-7,0.7575636938126347
2003-8,0.7577347903113284
2003-9,0.7579058868100221
2003-10,0.7580769833087159
2003-11,0.7582480798074096
2003-12,0.7584191763061033
2004-1,0.7585902728047971
2004-2,0.7587509418921511
2004-3,0.7589116109795052
2004-4,0.7590722800668592
2004-5,0.7592329491542132
2004-6,0.7593936182415674
2004-7,0.7595542873289214
2004-8,0.7597149564162754
2004-9,0.7598756255036295
2004-10,0.7600362945909835
2004-11,0.7601969636783376
2004-12,0.7603576327656917
2005-1,0.7605183018530457
2005-2,0.7606689773684304
2005-3,0.7608196528838151
2005-4,0.7609703283991999
2005-5,0.7611210039145846
2005-6,0.7612716794299693
2005-7,0.761422354945354
2005-8,0.7615730304607389
2005-9,0.7617237059761236
2005-10,0.7618743814915083
2005-11,0.762025057006893
2005-12,0.7621757325222778
2006-1,0.7623264080376625
2006-2,0.7624675238204482
2006-3,0.7626086396032341
2006-4,0.7627497553860199
2006-5,0.7628908711688056
2006-6,0.7630319869515914
2006-7,0.7631731027343771
2006-8,0.763314218517163
2006-9,0.7634553342999487
2006-10,0.7635964500827345
2006-11,0.7637375658655203
2006-12,0.7638786816483061
2007-1,0.7640197974310918
2007-2,0.764151787320649
2007-3,0.7642837772102062
2007-4,0.7644157670997633
2007-5,0.7645477569893205
2007-6,0.7646797468788777
2007-7,0.764811736768435
2007-8,0.7649437266579922
2007-9,0.7650757165475494
2007-10,0.7652077064371066
2007-11,0.7653396963266637
2007-12,0.7654716862162209
2008-1,0.7656036761057781
2008-2,0.765726973941477
2008-3,0.7658502717771759
2008-4,0.7659735696128749
2008-5,0.7660968674485739
2008-6,0.7662201652842727
2008-7,0.7663434631199717
2008-8,0.7664667609556707
2008-9,0.7665900587913695
2008-10,0.7667133566270685
2008-11,0.7668366544627675
2008-12,0.7669599522984664
2009-1,0.7670832501341653
2009-2,0.7671982897553764
2009-3,0.7673133293765875
2009-4,0.7674283689977985
2009-5,0.7675434086190096
2009-6,0.7676584482402207
2009-7,0.7677734878614317
2009-8,0.7678885274826428
2009-9,0.7680035671038539
2009-10,0.7681186067250649
2009-11,0.768233646346276
2009-12,0.7683486859674871
2010-1,0.7684637255886981
2010-2,0.7685709408347917
2010-3,0.7686781560808852
2010-4,0.7687853713269788
2010-5,0.7688925865730724
2010-6,0.7689998018191658
2010-7,0.7691070170652594
2010-8,0.769214232311353
2010-9,0.7693214475574465
2010-10,0.76942866280354
2010-11,0.7695358780496336
2010-12,0.7696430932957271
2011-1,0.7697503085418207
2011-2,0.7698197180713042
2011-3,0.7698891276007878
2011-4,0.7699585371302713
2011-5,0.7700279466597548
2011-6,0.7700973561892384
2011-7,0.7701667657187219
2011-8,0.7702361752482054
2011-9,0.770305584777689
2011-10,0.7703749943071725
2011-11,0.770444403836656
2011-12,0.7705138133661396
2012-1,0.7705832228956231
2012-2,0.7707261619435093
2012-3,0.7708691009913956
2012-4,0.7710120400392818
2012-5,0.7711549790871681
2012-6,0.7712979181350543
2012-7,0.7714408571829405
2012-8,0.7715837962308268
2012-9,0.771726735278713
2012-10,0.7718696743265994
2012-11,0.7720126133744856
2012-12,0.7721555524223719
2013-1,0.7722984914702581
2013-2,0.7723977865499126
2013-3,0.7724970816295673
2013-4,0.7725963767092219
2013-5,0.7726956717888764
2013-6,0.772794966868531
2013-7,0.7728942619481856
2013-8,0.7729935570278402
2013-9,0.7730928521074948
2013-10,0.7731921471871493
2013-11,0.773291442266804
2013-12,0.7733907373464586
2014-1,0.7734900324261131
2014-2,0.7735142687624056
2014-3,0.773538505098698
2014-4,0.7735627414349905
2014-5,0.7735869777712829
2014-6,0.7736112141075754
2014-7,0.7736354504438678
2014-8,0.7736596867801602
2014-9,0.7736839231164526
2014-10,0.7737081594527451
2014-11,0.7737323957890375
2014-12,0.77375663212533
2015-1,0.7737808684616224
2015-2,0.7741790734781056
2015-3,0.7745772784945886
2015-4,0.7749754835110717
2015-5,0.7753736885275548
2015-6,0.775771893544038
2015-7,0.7761700985605211
2015-8,0.7765683035770041
2015-9,0.7769665085934873
2015-10,0.7773647136099704
2015-11,0.7777629186264534
2015-12,0.7781611236429365
2016-1,0.7785593286594197
2016-2,0.7785787175129001
2016-3,0.7785981063663806
2016-4,0.778617495219861
2016-5,0.7786368840733415
2016-6,0.7786562729268219
2016-7,0.7786756617803023
2016-8,0.7786950506337829
2016-9,0.7787144394872633
2016-10,0.7787338283407438
2016-11,0.7787532171942242
2016-12,0.7787726060477047
2017-1,0.7787919949011851
2017-2,0.7787525403171032
2017-3,0.7787130857330212
2017-4,0.7786736311489393
2017-5,0.7786341765648573
2017-6,0.7785947219807754
2017-7,0.7785552673966936
2017-8,0.7785158128126116
2017-9,0.7784763582285297
2017-10,0.7784369036444477
2017-11,0.7783974490603658
2017-12,0.7783579944762838
2018-1,0.7783185398922019
2018-2,0.7782754985277489
2018-3,0.7782324571632959
2018-4,0.7781894157988428
2018-5,0.7781463744343898
2018-6,0.7781033330699368
2018-7,0.7780602917054837
2018-8,0.7780172503410308
2018-9,0.7779742089765778
2018-10,0.7779311676121248
2018-11,0.7778881262476718
2018-12,0.7778450848832187
2019-1,0.7778020435187657
2019-2,0.777686907484817
2019-3,0.7775717714508682
2019-4,0.7774566354169195
2019-5,0.7773414993829707
2019-6,0.777226363349022
2019-7,0.7771112273150733
2019-8,0.7769960912811246
2019-9,0.7768809552471758
2019-10,0.7767658192132271
2019-11,0.7766506831792783
2019-12,0.7765355471453296
2020-1,0.7764204111113808
2020-2,0.7763251111955579
2020-3,0.7762298112797351
2020-4,0.7761345113639122
2020-5,0.7760392114480893
2020-6,0.7759439115322665
2020-7,0.7758486116164436
2020-8,0.7757533117006207
2020-9,0.7756580117847979
2020-10,0.775562711868975
2020-11,0.775467411953152
2020-12,0.7753721120373293
2021-1,0.7752768121215063
2021-2,0.7752864849406087
2021-3,0.7752961577597111
2021-4,0.7753058305788133
2021-5,0.7753155033979157
2021-6,0.775325176217018
2021-7,0.7753348490361203
2021-8,0.7753445218552226
2021-9,0.775354194674325
2021-10,0.7753638674934273
2021-11,0.7753735403125297
2021-12,0.7753832131316319
2022-1,0.7753928859507343
