, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rondônia - Produção de Cimento (t),Rondônia - IDH,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado,Rondônia - Consumo de Cimento (t),Rondônia - Desemprego
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,4.987,0.6888434875107322,20683496.954476897,1587671.9110230566,11.468162372992843,18283502.20393496,13.867,8.22606242703537
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,4.987,0.6890307110251727,20710617.39615501,1589517.8903130072,11.472453015296995,18293229.077310376,10.777,8.219942711712722
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,4.987,0.6892179345396132,20737737.837833136,1591363.8696029575,11.476743657601148,18302955.950685795,13.888,8.213822996390075
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,4.987,0.6894051580540537,20764858.27951125,1593209.8488929083,11.481034299905298,18312682.82406121,11.859,8.207703281067428
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,4.987,0.6895923815684942,20791978.72118937,1595055.8281828589,11.485324942209449,18322409.697436634,14.431,8.201583565744782
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,4.986999999999999,0.6897796050829347,20819099.16286749,1596901.8074728097,11.4896155845136,18332136.57081205,12.653,8.195463850422135
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,4.986999999999999,0.6899668285973752,20846219.60454561,1598747.78676276,11.493906226817751,18341863.44418748,15.269,8.189344135099487
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,4.987,0.6901540521118157,20873340.04622373,1600593.7660527106,11.498196869121902,18351590.317562897,18.397,8.18322441977684
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,4.987,0.6903412756262561,20900460.487901848,1602439.7453426612,11.502487511426054,18361317.19093832,22.262,8.177104704454193
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,4.987,0.6905284991406967,20927580.92957997,1604285.7246326115,11.506778153730204,18371044.064313736,18.333,8.170984989131547
2003-11,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,4.986999999999999,0.6907157226551371,20954701.371258087,1606131.7039225623,11.511068796034357,18380770.937689155,18.156,8.1648652738089
2003-12,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,4.986999999999999,0.6909029461695777,20981821.812936205,1607977.6832125129,11.515359438338509,18390497.81106457,15.494,8.158745558486252
