Ano,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
1985,0.045717811,11755219.4836274,12.3375509688,178308554.07631
1986,0.120614923,16165828.6925031,12.2601204024,179887364.471564
1987,0.397499195,16383816.2779063,13.5122099136,201189657.654642
1988,2.838871802,14540659.0152934,13.1577866361,198707446.421374
1989,40.74379624,20044438.6041128,12.9177574658,201589304.236676
1990,1073.399121,16716056.4888864,12.4777359411,197253727.126771
1991,5739.658633,16036431.6916948,12.6344220477,202235049.626845
1992,61167.6043,17246499.1778314,12.1869337542,198000332.741056
1993,1329216.374,18330846.6583236,12.537891794,206375178.400086
1994,34750782.04,23330673.4829404,13.0659221387,217823804.137913
1995,60929910.78,23788418.949008,13.3125449715,224717889.126021
1996,74151755.85,26713878.2908068,13.6359269461,233013624.106997
1997,82801477.67,29610081.6993863,13.8759851664,239993350.283935
1998,83924488.19,28543628.661425,13.6719908182,239355543.253639
1999,89789781.72,26855451.681691,13.462326131,239550812.072034
2000,100612292.9,28658647.4023812,13.9649989486,251795327.012137
2001,111315303.9,25613964.4534728,13.7672527415,251503270.713981
2002,106176174.315132,11447277.9879623,10.9961323029,201707739.832144
2003,123788875.492096,8669385.838953,11.1097475712,206122612.929802
2004,149133418.004905,9026853.05788613,12.1334240713,230458859.452355
2005,161504419.693306,9374646.22956581,12.0760476303,232312362.484894
2006,183905297.820953,9241095.64345983,12.7186474035,247751060.611728
2007,207538729.078333,11886616.0299943,13.3917344018,262675455.3992
2008,239368507.363014,10716049.1521093,14.0307941336,278512105.399789
2009,250347465.50927,18209560.6178633,13.548947711,271435079.544671
2010,305173970.112006,20147050.9976067,15.1565908267,305173970.112006
2011,349632081.956446,22125694.5943581,16.3609975057,322781227.852497
2012,387095922.954513,24325990.8776376,16.6741399447,331070584.416826
2013,428810427.766084,24760458.1097251,16.5658339796,341146116.578477
2014,454153432.497187,24066012.3271263,16.1579280161,335020046.804775
2015,457443013.233034,19798174.3457769,15.0323101011,313710797.76256
2016,478472742.138858,16894030.0181445,14.4557511985,303535503.136248
2017,505075611.862998,14100529.883251,14.638881366,309064977.176916
2018,538784653.282473,14230717.6773486,15.1758343871,315514406.158804
2019,571464979.434878,15459332.530379,15.360778619,321088522.921186
2020,601083486.793983,16382827.3692743,15.0797279781,317199510.408374
2021,,,,
2022,,,,
